Time,phi,phi1d,phi2d,V1
0.02,0.17438805458264392,-0.01808678618735638,-1.0916533949833087,3.082352154684074e-11
0.04,0.1738089006351539,-0.03980553231295339,-1.0826266158311295,-3.7016650968469504e-05
0.06,0.17279649378926992,-0.06138917581335616,-1.0746812331214832,-7.304179883098862e-05
0.08,0.17135376559831011,-0.08284858736355512,-1.0655399996863752,-0.0001121690266650374
0.1,0.16948429676406024,-0.10404219866068193,-1.0562229536462777,-0.00014096020151391285
0.12,0.16719346942282867,-0.12500497732547755,-1.0429231584786898,-0.00017373181651632343
0.14,0.16448619493449357,-0.14566635808421638,-1.0211359617780906,-0.0002005979173600921
0.15999999999999998,0.16137013289824964,-0.1658440364288105,-0.9994575714231942,-0.000225065400558247
0.18,0.15785507248312355,-0.18559584656660869,-0.9745943254804352,-0.0002524098670266718
0.2,0.15394983747424404,-0.2048349722166346,-0.9492214700002742,-0.00027628782641774896
0.22000000000000006,0.14966519899036956,-0.2235374338819507,-0.9183894449303134,-0.000288334458870688
0.24000000000000005,0.14501285653274873,-0.24157541332271995,-0.8904321164150684,-0.00030173060338457
0.2600000000000001,0.14000560527197004,-0.2590689841106587,-0.8596078736296607,-0.00031054075227773744
0.2800000000000001,0.1346543752703758,-0.2759449929491317,-0.8211046106216808,-0.0003143121987802742
0.3000000000000001,0.1289735017213492,-0.29198476666988954,-0.7822728242754322,-0.0003159850120539308
0.3200000000000001,0.12297966944741932,-0.30728268251366075,-0.7496757558263967,-0.0003143229867480746
0.3400000000000001,0.11668688158246406,-0.32188370117634196,-0.7057187131428106,-0.0003093667525174544
0.3600000000000001,0.1101106594295708,-0.33556721189109223,-0.6679425087630549,-0.000302698392302631
0.3800000000000001,0.10326854143910537,-0.3485444873328687,-0.6242372670794718,-0.00029136730164869897
0.4000000000000001,0.09617551510711556,-0.36058207748249016,-0.5781320574572801,-0.0002762136876142825
0.4200000000000001,0.08885101761108599,-0.3717214164268241,-0.5366486270537122,-0.00025925509903680253
0.4400000000000001,0.08131214402612644,-0.38203414332459845,-0.48877018207844647,-0.00023728566131094722
0.4600000000000001,0.07357667063383008,-0.3913271502488751,-0.4431474209028191,-0.000215165552886173
0.4800000000000002,0.06566471080931315,-0.39973169276531956,-0.39210708439834674,-0.00019018672842784507
0.5000000000000001,0.05759464285640536,-0.4070867765408925,-0.3461173373332714,-0.00016336022067998563
0.5200000000000001,0.049387180426819985,-0.413515274978134,-0.2959445663983911,-0.0001355128524354848
0.5400000000000001,0.041061062772746335,-0.4189170166936658,-0.24414810231297884,-0.00010733877212630924
0.5600000000000002,0.03263736525240368,-0.423278145064589,-0.1916632075547759,-7.762068025818566e-05
0.5800000000000002,0.024136853664192104,-0.42659988423521056,-0.14013549032453634,-4.800771825898556e-05
0.6000000000000002,0.015580265793681809,-0.4288868169747368,-0.08893626891627701,-1.79048543863769e-05
0.6200000000000002,0.006988214549283209,-0.43014813854108735,-0.03661101966702898,1.1180226192568368e-05
0.6400000000000002,-0.0016186385391881199,-0.43036036383593373,0.01521740824138902,3.9951003831838815e-05
0.6600000000000003,-0.010219343331722457,-0.429539190432129,0.06671316561631851,6.793162958068748e-05
0.6800000000000002,-0.018793284237366637,-0.4276820165779052,0.11880239966250035,9.477322941008553e-05
0.7000000000000002,-0.027319707099835257,-0.42478718981187213,0.17112891097531568,0.00011986522827554482
0.7200000000000003,-0.035777747886453604,-0.4208403588859826,0.22376589433950658,0.00014249894729448026
0.7400000000000003,-0.044146527457733606,-0.4158691776870878,0.2723555511390153,0.00016375237446798773
0.7600000000000003,-0.05240601122658542,-0.4099200834650614,0.32147689463975404,0.0001837084390300742
0.7800000000000002,-0.06053669581821931,-0.4029828281859961,0.37396298749239215,0.000199111344525906
0.8000000000000003,-0.06851842178274373,-0.3950142957259535,0.4218163708002089,0.00021325557387215688
0.8200000000000003,-0.07633106202262799,-0.3860989696147675,0.4689798738771126,0.00022618425598303296
0.8400000000000003,-0.08395609234589188,-0.37624940174220534,0.5160300935877732,0.00023392439528937533
0.8600000000000003,-0.09137488867066722,-0.3654775009973783,0.5609150012785251,0.0002379171073738063
0.8800000000000003,-0.09856947180113233,-0.3538416974115774,0.6060532155185638,0.00024103236385069165
0.9000000000000004,-0.10552260754397338,-0.34132319375933057,0.6471615923013403,0.00024175614127127783
0.9200000000000004,-0.1122169405605832,-0.32797665828500255,0.6864236431263596,0.00023618864756596406
0.9400000000000004,-0.11863652688407478,-0.31385792801776596,0.7265964960596123,0.00023131948564445752
0.9600000000000004,-0.12476575195031443,-0.29892550497952464,0.7624542397772488,0.00022132271652740529
0.9800000000000004,-0.13058912025264904,-0.2833078166660441,0.7988111433792143,0.00020863030874501728
1.0000000000000004,-0.1360933670799747,-0.2670019192239786,0.8402064319970582,0.00018874552078717425
1.0200000000000005,-0.14126351387826214,-0.24986147456000227,0.8667880251438784,0.00017322272258813522
1.0400000000000005,-0.14608500142635766,-0.23223542450315815,0.8985720996397897,0.00015291779846733077
1.0600000000000005,-0.1505481225579456,-0.213953082880173,0.9229169408089375,0.00013222618080254223
1.0800000000000003,-0.15464061274737018,-0.19524392228244095,0.949955480916425,0.0001093520021656722
1.1000000000000003,-0.15835393373630427,-0.17598673925024708,0.9724767458509149,8.188793143662425e-05
1.1200000000000006,-0.1616772994998323,-0.15628415544566454,1.0007284200807436,5.7970320479150815e-05
1.1400000000000006,-0.16460178051701516,-0.13607422679117492,1.0165914815853534,2.923472144528502e-05
1.1600000000000006,-0.16711873743922867,-0.11559689284466158,1.0299236099138487,3.204497102493925e-06
