no;area;x;t;b;r_b
0;13.826611821160052;-5.495;2.0;11.638576800000001;6.636080352036019
1;123.85130596651877;10.159932;18.25;27.893521999999997;42.36717492421147
2;428.2114090350001;28.051284;20.8;41.824284000000006;45.369453541540416
3;683.709165391;43.706216;20.8;50.282514;41.08069629617809
4;917.895066445;61.597568;20.8;56.159231999999996;34.14614291828061
5;1056.8609332;77.2525;20.8;57.870498;26.15853954976806
6;1139.5035516500002;92.907432;20.8;58.000007999999994;17.655716772339378
7;1186.85279351;110.79878;20.8;58.000007999999994;9.543935193332954
8;1203.21737184;126.45372;20.8;58.000007999999994;3.851124744054717
9;1203.9299307499998;144.34507;20.8;58.000007999999994;3.3927548135543044
10;1203.92919475;160.0;20.8;58.000007999999994;3.393260206950872
11;1203.92860656;175.89142;20.8;58.000007999999994;3.393664048686743
12;1203.92919475;194.05304;20.8;58.000007999999994;3.393260206950872
13;1203.92919475;209.94446;20.8;58.000007999999994;3.393260206950872
14;1203.9061606799999;225.83588;20.8;58.000007999999994;3.4090392804467236
15;1195.5697633100003;243.9975;20.8;57.987376;7.017342068179569
16;1159.98845965;259.88892;20.8;57.487792000000006;12.908255363224907
17;1077.57724342;275.78034;20.8;55.361309999999996;18.561674205825895
18;899.1550969659999;291.67176;20.8;48.130896;21.79787979899568
19;502.5266906137999;309.83338;20.8;28.203708000000002;19.797403026782217
20;43.4892445874865;325.7248;16.18;5.7095348;15.09377491804683
